"","prolific_id","date","time","assignment","age","sex","instruction","total_score","task_duration","engagement","difficulty","strategy","feedback","token","start_time"
"1","6518281be94831275dd1a9d0","2023_12_15","03_13_22","bll","24","male",4,29500,214286,"6","3","Attempt 2 fusions if I found one I would extract that one over and over. If I didnt find a fusion I would extract a basic one over and over.","NA","S4HYMZPS",1702480127503
"2","5c955b0b4f7c360016682425","2023_12_14","16_16_51","bhl","41","male",2,17228,264606,"10","5","find as many methods as possible and maximise your winnings","","0CM477LW",1702480285969
"3","5b991099d78992000184033b","2023_12_15","03_17_42","bhh","26","female",4,11100,347913,"8","7","using the two most recent combinations together and fusing when i got near the end","no","AWS964QR",1702480253360
"4","58d3d69a47aa1e00010476f4","2023_12_14","16_19_31","blh","37","female",1,18300,380613,"10","0","to start at a and go along to see if it fused at all if it didnt i just extracted what i could","it was fun but short","AHDZZ9FK",1702480329420
"5","5d3112122401af0018ba2919","2023_12_14","11_19_58","blh","25","female",1,18600,340099,"8","4","i tried to get a first fusion then another. if by try 6 i had no first fusion i extracted what i could for points.","was fun!","ZQH520V3",1702480397186
"6","60d1a0e2551b5660575cdd64","2023_12_14","17_21_11","bhl","51","male",3,12300,311289,"5","1","Once I worked it out I tried to fuse to crystals first to maximize the amount I could extract ","","JI5URIJX",1702480498890
"7","60fd4f8bcf203e8452b79f1a","2023_12_14","16_21_59","blh","1822","female",3,10050,369222,"9","1","After a few failed fusesone fuse just extract for the rest","","XYG4Y827",1702480488849
"8","61044fcb640e0def77785661","2023_12_14","16_22_10","bll","27","male",2,34500,264978,"9","3","Get an early second level fusion then extract that for more than double a single level extraction. if I reach 5 fails extract highest level crystal.","None","Y128RMQ4",1702480604902
"9","60b93dbc8ff56ba91e07c174","2023_12_14","16_25_58","blh","56","female",1,9900,267871,"10","2","have a couple of goes at extraction max","","ETSHSYIB",1702480829996
"10","60bab50bcdd5d7ad3ee97479","2023_12_14","16_27_11","blh","20","female",1,16800,300740,"10","1","Attempt to fuse crystals at first and after 3 tries and you cannot seem to find a pair then extract individual ones. ","No negative comments! I found it to be very fun. Nice to do a different type of survey for a change!","0CI601HI",1702480869353
"11","62cd6fa42b0e6cf377b28655","2023_12_14","16_27_35","bhh","40","male",1,1827,222125,"10","5","Fuse for a few rounds then profit take","Cool","XWP89VBJ",1702480972417
"12","5ea954a1550e7902833cece8","2023_12_14","16_28_39","blh","22","female",1,15900,190942,"8","3","I tried to fuse the fastest so I could earn the most","","IIWR9YOF",1702481067455
"13","5dbe53f381091a3500a06508","2023_12_14","11_28_45","bhh","30","female",1,6750,721725,"8","2","Try to make as many higher-point crystals as possible and then try to fuse with them to extract a higher amount of points. ","Really interesting experiment!","1X619HT7",1702480542917
"14","63d4079b9f81c5da3433f4b8","2023_12_14","16_29_08","bll","29","male",1,23250,324320,"10","5","Try and get a fuse early and then extract over and over.","","1F4KVD4D",1702480963454
"15","5fa879d9f68b9371d90c3aa3","2023_12_14","18_29_10","blh","33","female",2,15750,391946,"10","5","Went alphabet by alphabet testing if they match to make more points","No","0VMH04S0",1702480897772
"16","611107eaa48093e17e7e56d2","2023_12_14","16_29_25","bhl","34","female",1,7800,423058,"10","1","Balancing fusing against extracting","Nope","ENV2LF37",1702480881765
"17","5f1301b0bbe07d00090dd94a","2023_12_14","16_30_47","blh","35","male",3,22950,315865,"9","6","guessing","none","5L4D10J7",1702481070399
"18","613f2fddaba8ab6b7099670d","2023_12_14","16_31_05","bhh","35","female",2,14175,291060,"10","3","Maximise output before extracting","No","KG52OE84",1702481113670
"19","652014e14d30bf0b7a862a60","2023_12_14","09_32_23","bhl","44","male",2,21273,327435,"10","0","At first i tried to see what the base was with just extracting a single crystal 10 times.  Then I worked out that the combinations gave the highest amount if i could get to 508.","it was a fun test to see what the outcomes would be","IFDSVQBE",1702481155334
"20","614e34945dfd7dfcc9012760","2023_12_15","05_32_30","bhh","45","male",2,19845,824547,"10","5","No real strategies! I was just trying to get my fusing combinations as high as I could really although not without losing too many points. Only  a couple rounds really where it didnt quite pay off!","Interesting exercise!","286ZC5SW",1702480664768
"21","65182cdf49dd0f33aaf0cfd1","2023_12_14","16_32_32","blh","34","male",4,14250,294177,"8","4","Try to gain one successful fuse in the first 2-4 clicks and then extract the fused crystal as much as possible","","AMSQ5YR2",1702481197316
"22","59d9cea2e2762800015eb791","2023_12_14","16_32_43","blh","51","female",1,9000,264181,"10","6","i was guessing","no","46ZFLQME",1702481238426
"23","613231c7b264c7a16314d253","2023_12_14","16_32_46","blh","30","male",2,20100,334323,"9","4","I tried to limit how many attempts at fusing I made to 5 just in case nothing worked.","","CY60PQZE",1702481171545
"24","5e11a7d6feea8982dba1e61c","2023_12_14","16_33_09","blh","34","other",1,11850,270185,"8","10","I randomly tried fusing until I had 3 energy left or until I successfully fused.","It was fun!","PSABWNTC",1702481258663
"25","652fed9516b0990c27dd6b89","2023_12_15","03_33_13","bhl","27","male",7,14656,357500,"7","5","trying to get higher combos and extract","","SGDU60PM",1702481175480
"26","6400d9d7829f8ed06ac31552","2023_12_14","16_33_14","bll","22","male",2,35000,147516,"8","2","Usually try to get 1 fusion and then extract as many times as possible","","LYT1D9X1",1702481386276
"27","654df6342c7a6923f3c48bec","2023_12_14","11_33_43","blh","29","female",2,15450,367739,"8","3","I just kept on trying to click combinations once I realized I was likely not to get a fusion within 10 attempts I would just click on the individual crystals so I could at least get some points.","It was fun! Not sure if there was an actual method to always knowing which fusions would work though.","5LAP9Z32",1702481194972
"28","6546647f0e866aeb16d630a2","2023_12_14","11_33_55","blh","43","female",2,15150,262553,"5","3","Attempt to fuse one combo and then extract that combo.","It was repetitive after the first couple of tries.","97MY69JR",1702481311499
"29","58c4f54f93499d0001346edd","2023_12_15","03_34_02","bhl","34","male",2,28124,233411,"8","4","tried to stick with the same strategy of starting with a then fusing with the previous fusion ","interesting game!","CC4ILCYT",1702481347910
"30","","2023_12_14","16_34_09",NA,"52","male",1,22500,265290,"5","1","5 fuses then 5 extracts","No","9V7MLFX7",1702481323445
"31","5b9b7d4608c0fc0001472a30","2023_12_14","16_34_32","bhl","53","male",2,36540,370239,"9","6","A little trial and error and took a while to get it but trying to build big crystal and then extract it enough times","","2LPZIG98",1702481240982
"32","6141f62294ff9bf9d89e8897","2023_12_14","16_34_46","bhh","29","female",1,24138,424973,"9","3","try and duplicate the crystal with the most value first and if that doesnt work try fusing it with the next most valuable","no","E0GTTF1P",1702481200437
"33","5dc583731173bb3faa5c0519","2023_12_14","16_34_50","bll","48","female",3,22000,301017,"8","6","accumulate points with Extract then make 2 or 3 FUSE attempts","","ME1BJTIU",1702481328677
"34","609f7f84173c702573fb66cc","2023_12_14","18_35_12","bhl","23","male",2,18541,420007,"10","7","fuse the previous with the new crystal ","","C692DY2K",1702481231762
"35","62eba3f3f2926f945ac33310","2023_12_14","16_35_26","bhh","26","male",2,306,311673,"10","1","Try to fuse a baseline of 2-4 9p options and then try different permutations of fusing these to try and get the highest possible total whilst keeping in mind the total number of machine uses yet","Very interesting and engaging concept!","7C94SSUS",1702481353436
"36","60913cbca130a7ac8eb2fae8","2023_12_14","18_31_54","bll","25","male",4,32375,294719,"10","5","Fuse for a crystal with a higher energy point then try and fuse that higher energy point crystal again to an even higher energy point crystal then extract the highest energy point crystal until all actions are used.","none","TCKVQNLB",1702481158365
"37","59d1f0fffaf42e00012b6c20","2023_12_14","16_35_44","bhl","54","male",1,32348,355927,"10","8","random fusing up to 5 times","","NERCYQVY",1702481327126
"38","612b5a2c55286e4cf74a63ee","2023_12_14","16_35_56","bll","49","male",1,29250,436613,"9","2","Maximise payout by first gambling then opting for the safe bet after a few tries","","YL1QLJ7L",1702481259380
"39","5ac033fa68b65b00018d2c1a","2023_12_15","02_35_58","bhl","39","male",1,34257,397939,"10","9","I spent 5 uses fusing then the remaining 5 collecting.","I dont think the instructions were good enough. It was only after experimenting during play that I fully understood what to do. Until then I believed that fused crystals could only be used once not used for every remaining use of the machine.","URVH6T76",1702481299651
"40","60886f033e4f5c214da0c898","2023_12_14","16_35_55","bll","48","female",2,35000,272891,"10","5","As fusion rate was so low I decided it was better to use each turn to get some points","All clear","TM3ZX00B",1702481421899
"41","6384f88517c736ff7718bd5f","2023_12_14","16_36_36","bll","49","male",2,26250,337870,"7","2","click and hope for the best:P no methodolgy used apart from 5 tries then bank best amount","","09HIFF4C",1702481397953
"42","60252dbdb3d0e12dc0c137bb","2023_12_14","11_36_39","bll","40","male",2,17750,274110,"10","0","Tried to combine and extract and repeat","None","7PAYG7JI",1702481464292
"43","5e1cf0eb65b6d3071f489de9","2023_12_14","16_36_44","bhh","30","female",1,10692,453834,"8","2","Try and fuse crystals to get a more valuable one ","No","VTQGMVET",1702481289558
"44","60fbf4a93bcce0548755ae7d","2023_12_14","16_36_44","bhl","31","male",4,32274,298167,"10","3","start with A-A fuse. then add aaa then aaab then aaabc etc until 2500 pts per extract. if 3 fails in a row then i just submitted 150 at a time.","","2W0FJCGM",1702481445385
"45","634d7213a4ecd799f4c14726","2023_12_14","16_37_09","blh","33","male",3,19050,229479,"5","6","Get as high as possible","More turns please","36N6UK4Z",1702481538554
"46","64fac129eef7b3971cb5c4fe","2023_12_14","09_37_18","blh","33","male",1,18450,315392,"8","7","I took the approach of fusing until I had 3 uses of the machine left then extracted for those 3.","Fun!","TNTA8TVY",1702481461643
"47","6016bbe3a28c6014fd3236b8","2023_12_14","18_37_38","bhh","25","male",1,4653,699171,"10","5","After a certain score I would just extract instead of fusing that might fail.","","WFV7CZR6",1702481098193
"48","5ad23186d9f7470001db1a6f","2023_12_14","16_37_52","blh","42","female",1,53400,481330,"10","3","To try and fuse early and then extract. I though I could only extract each jewel once so I missed out on gaining more energy.","NA","OJ2DIA43",1702481330492
"49","653bd17a6e76e26b4d834861","2023_12_14","11_38_08","blh","35","female",3,10350,368786,"8","3","If I didnt get any fusions before I hit 5 attempts then I would just extract.","It was interesting. ","59NNEVKB",1702481458302
"50","5aad2266811b2000016f6bda","2023_12_14","16_38_18","bll","31","male",1,34375,185166,"9","5","Risk a little but not too much","No","NUXGY8B6",1702481652390
"51","5ff8442a0d726a59d5325267","2023_12_14","18_38_23","bhl","22","female",3,14229,808121,"10","3","Just adding up combos with the highest points","very cool!","S85VNKYA",1702481034685
"52","6155f2c84aedcacc95fb188d","2023_12_14","16_38_24","bhl","44","female",1,12038,392161,"10","6","I tried to get the numbers up and then extract them but it didnt always work.","No","AVJQU0RW",1702481451578
"53","60721c2da01b3a616edba9a7","2023_12_14","18_38_42","bhh","41","female",1,351,585001,"8","2","To create multiple fusions to extract for more points","no","RJ8SQH9W",1702481276126
"54","5cee747068258f001931507c","2023_12_14","17_38_50","bll","42","male",3,15500,290422,"9","2","I tried to find a combinations of the letters","Thank you","WVT5XEE2",1702481579490
"55","5e07aa9cb638531138f72587","2023_12_14","16_38_55","bhh","57","male",1,1107,388727,"6","3","to fuse as much as possible","","K24MUAV6",1702481485810
"56","604ce78146f1e005b68e1bd7","2023_12_14","16_38_60","blh","39","female",1,9000,423430,"10","0","Always extract all 6 crystals to maximize your points and then try some combinations of fuses and if successful extract them.","A very enjoyable experiement.","EH39ME3X",1702481456388
"57","6543bd9e421ae38ae700049f","2023_12_14","11_39_27","blh","34","male",1,58800,506911,"8","7","I started off trying to fuse and if there was not progress I would try and just accumulate some value.","Fun different and engaging.","4384KSRS",1702481399343
"58","63469f35701f6b1eb1e76b1f","2023_12_14","16_39_48","blh","54","male",2,24450,505561,"9","6","Tended to favour adjacent letters to start. As soon as got a successful fusion used that as a base","","XWV6GSTI",1702481421959
"59","5b773e58a1c0710001a0ebad","2023_12_14","10_40_52","bhl","36","male",6,12533,519137,"10","3","Trying different combinations till I got a bigger number then extract the bigger numbers.","Was fun and enjoyable to do.","JUQVXJ30",1702481472309
"60","5db5e92f734a26000b470dde","2023_12_14","16_40_21","bhh","25","other",3,18225,477234,"8","1","I fused nine times while keeping count in my head of how many times I had fused as I feel that fusing as many times as possible will give the biggest payout.","","TNHOBR0E",1702481483526
"61","64972f924aa5ae29db59c3aa","2023_12_14","16_40_40","bll","36","female",1,31000,263876,"9","0","To keep extracting for points.","No","KKGAWROO",1702481715418
"62","5c096cc8b57e9500015a18c2","2023_12_14","16_40_45","blh","43","male",1,35250,396746,"9","5","Tried to risk by looking to fuse without getting greedy.","none","XQ37V6HK",1702481588147
"63","60fd56b6df52345b18535feb","2023_12_14","16_40_50","bhh","49","female",4,8322,421425,"10","7","Multiplying the highest numbers possible to get the highest reward","None other than it was fun thank you!","Z5HU5E93",1702481567808
"64","5c5ca0ce4ee81200018eaf51","2023_12_14","16_41_19","bhl","54","female",1,35980,816017,"10","6","To keep an eye on how many failed outcomes remained","loved it thanks :)","G1NATKHJ",1702481202041
"65","5c7223bd7ed3a70001fc1df0","2023_12_15","05_41_35","blh","24","female",2,27450,457011,"9","7","Just trying to find two fusions","","9PUJXNWL",1702481577936
"66","64135c5f6cdfab4949d4b2ae","2023_12_14","16_41_41","bll","34","male",1,23813,328016,"8","9","attempt early combinations sequentially then if on the last few tries switch to repeatedly banking the highest available","no","DBGRNCVQ",1702481712731
"67","6162e2edc9c72d9868385779","2023_12_14","16_41_49","bhl","22","male",6,18835,291584,"9","3","Try to get to 500xp with at least 4 goâ€™s left to get minimum 2000 xp","Very fun","AXLSV6CM",1702481757148
"68","63dbddb434d075a0bff1dbc7","2023_12_14","16_41_52","blh","54","female",1,9750,322636,"6","1","It is easier to not attempt to find the matches","NA","CGRDFZGK",1702481728906
"69","5aafe2a9fb22320001babb3a","2023_12_14","16_41_57","bll","29","male",1,22750,586977,"8","0","Just guessing really","No","4CQBHG7E",1702481469571
"70","59feed1da383a100011b3eaa","2023_12_14","16_42_06","blh","48","male",1,6750,549649,"5","4","I tried fusing blocks together to start in the hope of generating higher value blocks while keeping an eye on the turns so that I always ended up with some points.","na","2N4RLMD0",1702481515594
"71","609d22a7186f9da021fb4a70","2023_12_14","16_42_34","bhh","39","female",4,10692,560602,"9","5","Seeing if I had enough chances to fuse crystals before fusing them.","It was fun thank you!","6EIALJWF",1702481532923
"72","5a00a8160fff620001a6b776","2023_12_14","11_42_30","bhh","47","female",1,2268,317813,"9","3","I was conservative for the first few trials and didnt experiment with fusing much. Later I when I tried fusing more I learned I could usually get it up to 81 points without too many failed fuses so I tried for that each trial after. ","No thank you.","NZ5ZBDCS",1702481771988
"73","6070c9451a3285e619be08f7","2023_12_14","09_42_45","bhh","29","female",2,13419,506334,"10","2","Trying to fuse to get more points.","","WCQPFT45",1702481598582
"74","63e00673acb154c72d564dd1","2023_12_14","16_42_48","bll","55","female",1,30000,486147,"6","4","Didnt really have. Allowed myself to play to see what came out.","No","Q1PGCD92",1702481621784
"75","61391693d47000d783145b93","2023_12_14","16_42_53","bll","27","female",2,7720,523222,"8","7","I just tried to work through the possibilities in order. Ill admit this was probably not the best way to earn points but I wasnt sure what other strategies to use.","It was fun!","136JE1QL",1702481589217
"76","650062cd6cef58594c7a5c78","2023_12_14","10_42_55","bll","40","female",1,25250,385397,"10","5","I always kept in mind how many turns I had left and started by fusing items. If I hadnt found a new crystal I started extracting to make sure I could at least get the minimum amount of points.","It was fun!","2RX9RQES",1702481729279
"77","5d4b14caed2dfc0001a22c1a","2023_12_14","08_43_01","bll","40","female",2,35125,586334,"8","4","I tried to find a new crystal or two using less than half of the button presses. Once I did I used the remaining presses to extract the crystal with the highest energy.","This was a fun experiment.","TPMM3VRP",1702481533772
"78","63b80a8b220f924d975670bc","2023_12_14","16_43_03","bhl","49","female",1,10050,377653,"7","2","More points were gained by not fusing.  It was better to just extract.","I didnt understand the option of fusing as it used up 2 attempts but gave less points and there was also a chance of it failing.  Surely no one would choose to fuse if the aim was to get the most points?","6NYUSWRY",1702481744689
"79","653ee4e964c5fb9092a9c2ed","2023_12_15","03_43_08","bhl","19","male",3,36009,289662,"10","0","Combo biggest ones together until 4 energy left after which i sell.","","1TKRAFTX",1702481838048
"80","5a8a8de6000dab00018cc170","2023_12_14","16_43_13","bhh","35","female",2,16929,242823,"10","5","I would get to half way experimenting and then just extract if the amount was high enough","None","ZZOIPRF7",1702481889815
"81","5ccf41c9bd0d3e001593ce92","2023_12_14","16_43_15","bhl","50","male",1,33878,382860,"10","3","Get a crystal with the highest value then extract for the last 4 goes","none","D1MDMRTM",1702481752038
"82","6561236d348bea6df6193ecc","2023_12_14","11_43_19","bll","29","male",1,40753,364142,"8","6","I tried to fuse a few times to see if I could get any fused crystals going. If so I tried to push that crystal further until I hit a block (failed attempt). After a few failed attempts I cashed in the highest energy points I could get. ","","6LUN3TN8",1702481774601
"83","6523c0a6ebfa353d6aa23b1c","2023_12_14","17_43_19","bll","25","male",2,14750,300567,"10","8","Aim to find a combination as early as possible if 750p was found then use it until turns run out if not then try find higher points.","","Y1V0B89Q",1702481837817
"84","6021b4592cecf2216baabfed","2023_12_14","17_43_22","bhl","22","male",2,9417,558221,"8","3","making the biggest combination","i hope to participate in more similar ones","LQRLUXTM",1702481583282
"85","5e8381eccec7700be5fda040","2023_12_14","16_43_23","blh","47","female",2,17550,313268,"10","3","Getting one fusion near the start resulted in many more points","","CZ7CDOT3",1702481828803
"86","6577e8181dea1ce81703ca8b","2023_12_15","05_43_24","blh","19","male",4,10200,672528,"10","5","Gamble near the start then cut losses if not lucky","In hindsight it may have been more statistically unfavorable for me to gamble at all given the 20 fusion success rate may have given me a statistical disadvantage. i did however only lose out by around 400 points :) ","6RJFOOI8",1702481471369
"87","5f5d4c33c6a95e5ae62a5c35","2023_12_14","11_43_28","bhl","27","female",1,8743,604447,"10","4","I tried to extract from at least one crystal first then I tried to create pairings and extract again to maximize the number of points.","No comments","2EM0J9RF",1702481542937
"88","5885129a6907b40001de425a","2023_12_14","16_43_28","bhl","40","female",1,19611,460883,"9","1","tried to fuse until i could get the highest amount and when 5 attempts left to extract the highest crystal","","FLDIITJX",1702481686675
"89","6167edd341d0bbfb9ae5865e","2023_12_14","16_43_42","bhh","36","female",2,41771,323910,"10","5","fuse the highest together until the end and bank the highest number","","SRFC2T0Y",1702481837504
"90","611162931df90341d92aa708","2023_12_14","12_43_59","bll","35","female",4,19750,328547,"6","5","tried to find a fuse extract fuse to more points","","RHJ1OAPY",1702481850057
"91","6236f9d5a592272f9e11b44c","2023_12_14","16_43_59","bhl","51","female",3,13693,465979,"9","4","To keep adding the highest ones together","No thanks","W9D86J6N",1702481712711
"92","6554cfc335ac9ff968a5f162","2023_12_14","18_44_01","bll","47","male",2,30250,342023,"0","6","Random selection","Didnt understand the point of it.","IPQVPZYM",1702481838664
"93","57d02ffb596f5d0001df741f","2023_12_14","11_44_11","bhl","34","male",1,23128,512749,"7","6","I tried to just find combinations that were repeatable. I wasnt 100 sure if certain combinations mattered other than choosing the highest amount + one but I stuck with what I thought worked if I found that it did.","Other than not knowingbeing able to find how many chancesturns I had left there were no problems.","MJ3MZ6L4",1702481677577
"94","5fdf0499adaa096f85b56eab","2023_12_14","18_44_53","bhh","25","male",7,25920,423559,"10","0","fusing a and b. Then fusing b to the outcome of every fusion after that.","None","0A9K0AS6",1702481809056
"95","5dae30fea05d370017a0b47f","2023_12_14","16_45_12","bll","57","female",1,28250,441501,"10","0","I dont have a strategy I leave it to chance and luck","This was one of the best experiments I have done for a while highly enjoyable","07ZOAPIP",1702481809677
"96","64333e37b0fca53775bad01a","2023_12_14","16_45_14","bhh","18","female",2,32805,222184,"8","0","Try different numbers in order to maximise the number then combine two bigger numbers.","No","VOA0JWJS",1702482031301
"97","653bb6b79f1afbcea800da0c","2023_12_14","17_45_16","blh","23","male",4,38850,323469,"7","6","I tried finding most exp combinations first. If I can not make it I just extract all the maximum points I had","","P19RW53C",1702481932396
"98","5e8cb92b4fbc6b06bdb8a3d3","2023_12_14","16_45_26","blh","26","male",2,9150,291073,"10","5","Trying a few combinations in attempt to get a successful fusion however if after most tries no success I extracted singular letters. ","NA.","H2T2ZFY2",1702481974431
"99","5e3606315bfa435ce4d6246c","2023_12_14","10_45_30","bll","43","female",1,35000,203446,"8","3","Always extract as the fuse percentage was too low","na","XR4521JZ",1702482065670
"100","65254b3af924a4b9fdd5487e","2023_12_14","16_45_36","blh","33","female",3,23550,375913,"9","1","I tried up to 4 combinations of two letters each time to try and fuse them and if I didnt get any fusions within 4 tries I then extracted points from what I had. ","","BG63LRYL",1702481899118
"101","607ee7232fb723e021ea8bd5","2023_12_14","13_15_53","bhh","38","male",2,17577,513186,"6","3","Just kept trying to fuse until I had one last extraction opportunity.","No.","A5ESQTTL",1702481779726
"102","6500615b226d81ec5db464d7","2023_12_14","16_46_03","bll","58","male",1,31750,502525,"8","6","I initially focused on fusing but then decided I would get more points out of releasing the energy. After the first two games I tried fusing up to three times before using remaining tries to release energy from the crystal with most energy each time.","","9F2LP63A",1702481799801
"103","5cd4210f2652df0015a3c969","2023_12_14","16_46_08","bll","42","female",1,24065,305572,"10","4","I spent the first 5 points minimum trying to establish better crystals before just getting some extract from what I had","None thank you  was an interesting game","TU8P49GM",1702482002191
"104","5d9f4d5f3cac2b0016c79242","2023_12_14","12_46_29","bhl","29","male",6,15774,212759,"10","6","Trial and error.","It was an enjoyable experiment.","L09HFKRG",1702482115807
"105","5f7a4d05a8da636ab1802596","2023_12_14","16_46_42","blh","56","male",3,11700,526442,"9","5","Maximise the number of new crystals in the first five button presses.","Interesting thanks. ","7J6CUE67",1702481815359
