"","id","condition","age","sex","total_score","engagement","difficulty","strategy","feedback","date","time","task_duration","intruction","start_time"
"1",21,"novice",29,"female",7625,8,0,"I felt the best strategy was just to extract single crystals but I was also having fun.","","2024_04_31","15_45_06",288997,1,1714484356970
"2",22,"novice",31,"female",7779,7,6,"re-using crystals which had already generated fuse results","","2024_04_31","15_47_22",372413,1,1714484409226
"3",23,"expert",19,"female",13265,8,2,"Exclusively select the strategy with the highest success rate","it was fun!","2024_04_31","10_47_38",528769,1,1714484268376
"4",24,"novice",40,"female",9500,10,3,"my 2nd round I tried multiple fuses to see how many failed attempts there were possible and you could spend the whole round fusing with zero points so then I decided to try to get a fuse each round in 1 or 2 combinations and if no luck with a fuse just get what points I could.","I enjoyed it.","2024_04_31","10_50_10",487334,1,1714484462169
"5",25,"novice",18,"male",3764,8,5,"Play with fusions first","No","2024_04_31","24_50_17",290945,3,1714484665243
"6",26,"novice",29,"male",10541,7,5,"trial and error","","2024_04_31","15_50_22",321123,3,1714484640633
"7",27,"novice",32,"female",8792,8,3,"Create a base combination and then try to build off of that to get more points. If I was running out of turns and didnt have much luck with the combinations I would extract my highest value combination a couple of times to get points.","na","2024_04_31","15_53_22",372572,2,1714484768723
"8",28,"expert",20,"female",14162,7,6,"I tried to get the crystals to a decently high number before extracting repeatedly. I only did combinations that had the higher chance of succeeding ","no","2024_05_02","02_53_46",398422,4,1714484767348
"9",29,"novice",23,"female",12950,8,3,"Trying to fuse crystals as large as possible before extracting","na","2024_04_31","16_54_06",375169,4,1714484810026
"10",30,"novice",35,"female",5441,10,5,"I just guessed.","No","2024_04_31","10_54_23",299813,2,1714484902703
"11",31,"expert",20,"female",16877,9,5,"use the probabilities provided put the same letter together for convenience put largest values together - if that doesnt work then put largest and next largest together.","no","2024_04_31","24_55_46",432940,1,1714484852279
"12",32,"novice",35,"male",5259,7,6,"Try to balance failed attempts to fuse with what was already on the board.","Id have been better off not using the fusion at all","2024_04_31","11_58_11",497243,1,1714484933499
"13",33,"novice",33,"female",7584,8,3,"find a match then extract then add to that match to try and make it bigger","it was interesting","2024_04_31","15_58_32",445378,1,1714485006451
"14",34,"expert",35,"female",6877,8,3,"create bigger cystals and then exttract","no","2024_04_31","15_59_15",604808,1,1714484889310
"15",35,"expert",29,"female",19170,10,8,"trying to get the biggest numbers","","2024_04_31","15_60_46",424634,3,1714485160540
"16",36,"expert",30,"male",16911,8,4,"Only extract at the end of each task","No","2024_04_31","16_01_13",598867,1,1714485013200
"17",37,"expert",39,"female",6983,10,5,"Create big crystals then extract before running out of energy. ","Fun!","2024_04_31","17_01_28",705379,1,1714484922152
"18",38,"expert",38,"female",7104,7,5,"Guessing ","no ","2024_04_31","16_01_20",587980,3,1714485031628
"19",39,"novice",37,"male",7736,10,8,"I just clicked around trying to fuse initially and once got to about 5 left then just extracted what i could","no","2024_04_31","16_01_39",307294,1,1714485331290
"20",40,"novice",44,"female",10986,6,7,"I tried to fuse as high as I could before extracting","","2024_04_31","16_01_41",520748,1,1714485119942
"21",41,"novice",54,"female",11676,7,3,"To get a high point crystal then extract it 3 times","This was fun but I probably didnt use a good strategy.","2024_04_31","10_01_49",743774,1,1714484905015
"22",42,"novice",38,"female",9648,9,3,"Id give myself 6 turns to make fusions and use the remain 4 to extract points","nope","2024_04_31","11_02_22",538418,1,1714485142780
"23",43,"novice",31,"female",12025,6,4,"Random to begin with with the intention of trying to find patterns. Then started fusing as much as I could with some safe intermittent extractions just in case. Ended with extractions to make sure I finished with at least 600 each time.","Thank you","2024_04_31","16_03_33",482864,3,1714485269179
"24",44,"novice",25,"male",16244,10,1,"I made an excel to determine how valuable fusing would be vs extracting i.e. a break even point","This was fun to test I like that machine would let you know if you already put a combo in","2024_04_31","17_03_37",594527,1,1714485161709
"25",45,"novice",22,"male",8150,10,5,"Trying different combinations","no","2024_04_31","17_04_12",417743,2,1714485374057
"26",46,"novice",49,"female",12369,8,8,"use 5 goes to build the biggest molecule then exploit it for 5 goes","no","2024_04_31","16_06_14",835408,2,1714485077669
"27",47,"expert",43,"male",29047,6,2,"Add the highest until only a few tries remaining then extract","No","2024_04_31","16_07_29",884185,1,1714485104226
"28",48,"expert",24,"female",17489,8,6,"Fusing crystals with my first five moves then extracting the crystals with the highest points with my last five moves ","No","2024_04_31","09_10_52",417654,1,1714485773730
"29",49,"novice",51,"male",8833,10,5,"To vary the letters I combined as much as possible and sometimes use letters from both groups (eg aa bb etc.). ","Fun and interesting experiment thanks!","2024_04_31","16_16_18",490956,3,1714486026162
"30",50,"novice",31,"female",9650,10,5,"Random selection trying to find a pattern.","NA","2024_04_31","11_16_31",483254,6,1714486046811
"31",51,"expert",35,"male",23583,7,7,"I was just trying to get a pretty big number from combining the highest likelyhood of crystals and then extracting with my remaining few turns.","nope","2024_04_31","11_16_59",429611,1,1714486128668
"32",52,"novice",34,"female",7564,9,2,"At first I tried to combine elements to gain greater rewards but I realized the risk of not producing anything was too great so I just extracted most elements.","","2024_04_31","11_17_51",476051,1,1714486134069
"33",53,"novice",33,"female",9057,10,1,"Fuse as many alien crystals as possible and quickly extract them afterward.","Thank you for the opportunity.","2024_04_31","17_25_46",1012747,2,1714486072476
"34",54,"expert",23,"male",17738,7,4,"I tried to fuse using the best recipe until I felt that it would be better to extract the crystals I had created. There is a break point after which it is more productive to use your remaining steps to extract rather than continue fusing but I didnt take the time to calculate this exactly rather relying on intuition.","-","2024_04_31","16_27_59",570278,1,1714486648341
"35",55,"novice",49,"male",11058,10,0,"trying to create a multiplier as quickly as possible before using last gew hits to build points","na","2024_04_31","16_32_09",465385,6,1714487003079
"36",56,"expert",28,"male",17914,10,6,"To first see which combinations had the best chance of succeeding when fused and then using a few turns to try and make the most valuable crystals before using the remaining turns to extract the points.","","2024_04_31","16_34_37",335227,1,1714487281107
"37",57,"expert",36,"male",13501,7,7,"Combine at least 3 to get the multiplier then fuse these for decent XP","No","2024_04_31","16_35_08",346635,1,1714487301071
"38",58,"expert",60,"female",5695,10,3,"i was just pressing to try and get new crystels","none","2024_04_31","18_43_08",774938,7,1714487352592
"39",59,"expert",40,"female",17172,5,3,"To try to get maximum points","","2024_04_31","16_45_42",379528,2,1714487902145
"40",60,"expert",23,"female",25807,10,5,"I focused on fusing the boxes with the highest possibilities.","No.","2024_04_31","17_50_12",576800,1,1714487975034
"41",61,"expert",54,"female",19296,10,4,"getting as many points as possible ","","2024_04_31","17_03_20",691783,4,1714488647927
